onset	duration	nwb_table	temporal_frequency	spatial_frequency	direction	contrast
445.0	60.0	epochs	1.0	0.04	0.0	0.6
536.0	60.0	epochs	1.0	0.04	135.0	0.2
626.0	60.0	epochs	1.0	0.04	135.0	0.4
716.0	60.0	epochs	1.0	0.04	0.0	0.4
807.0	59.0	epochs	1.0	0.04	0.0	0.4
897.0	60.0	epochs	1.0	0.04	45.0	0.8
987.0	60.0	epochs	1.0	0.04	90.0	0.4
1078.0	59.0	epochs	1.0	0.04	225.0	0.6
1168.0	60.0	epochs	1.0	0.04	90.0	0.1
1258.0	60.0	epochs	1.0	0.04	270.0	0.1
1349.0	59.0	epochs	1.0	0.04	315.0	0.8
1439.0	60.0	epochs	1.0	0.04	315.0	0.05
1529.0	60.0	epochs	1.0	0.04	315.0	0.6
1620.0	59.0	epochs	1.0	0.04	225.0	0.6
1710.0	60.0	epochs	1.0	0.04	180.0	0.05
1800.0	60.0	epochs	1.0	0.04	0.0	0.4
1890.0	60.0	epochs	1.0	0.04	315.0	0.05
1981.0	60.0	epochs	1.0	0.04	45.0	0.05
2071.0	60.0	epochs	1.0	0.04	315.0	0.6
2161.0	60.0	epochs	1.0	0.04	225.0	0.8
2252.0	59.0	epochs	1.0	0.04	270.0	0.05
2342.0	60.0	epochs	1.0	0.04	45.0	0.1
2432.0	60.0	epochs	1.0	0.04	225.0	0.2
2523.0	59.0	epochs				
2613.0	60.0	epochs	1.0	0.04	135.0	0.1
2703.0	60.0	epochs	1.0	0.04	270.0	0.1
2794.0	59.0	epochs	1.0	0.04	135.0	0.1
2884.0	60.0	epochs	1.0	0.04	135.0	0.8
2974.0	60.0	epochs	1.0	0.04	90.0	0.05
3065.0	59.0	epochs	1.0	0.04	135.0	0.1
3155.0	60.0	epochs	1.0	0.04	270.0	0.8
3245.0	60.0	epochs	1.0	0.04	0.0	0.1
3335.0	60.0	epochs	1.0	0.04	270.0	0.8
3426.0	60.0	epochs	1.0	0.04	180.0	0.1
3516.0	60.0	epochs	1.0	0.04	225.0	0.1
3606.0	60.0	epochs	1.0	0.04	90.0	0.2
